_id,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
320158,GO-20222361345,12/3/2022,12/3/2022,2022,December,3,337,Saturday  ,19,2022,December,3,337,Saturday  ,19,D22,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,1610,100,Robbery With Weapon,Robbery,160,Mimico-Queensway (160),17,Mimico (includes Humber Bay Shores) (17),-79.48980143,43.61275673
205736,GO-20192153133,11/7/2019,11/6/2019,2019,November,7,311,Thursday  ,14,2019,November,6,310,Wednesday ,11,D14,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,79,University (79),79,University (79),-79.41021343,43.66267141
9913,GO-20141991841,5/1/2014,4/30/2014,2014,May,1,121,Thursday  ,6,2014,April,30,120,Wednesday ,22,D12,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,Break and Enter,112,Beechborough-Greenbrook (112),112,Beechborough-Greenbrook (112),-79.46765069,43.69178638
174855,GO-2019228155,2/5/2019,2/5/2019,2019,February,5,36,Tuesday   ,13,2019,February,5,36,Tuesday   ,13,D33,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,48,Hillcrest Village (48),48,Hillcrest Village (48),-79.35042935,43.79362576
13539,GO-20142257242,6/9/2014,6/9/2014,2014,June,9,160,Monday    ,22,2014,June,9,160,Monday    ,22,D31,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,25,Glenfield-Jane Heights (25),25,Glenfield-Jane Heights (25),-79.5115437,43.74213226
334993,GO-2023737589,4/4/2023,4/4/2023,2023,April,4,94,Tuesday   ,6,2023,April,4,94,Tuesday   ,0,D12,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,23,Pelmo Park-Humberlea (23),23,Pelmo Park-Humberlea (23),-79.51243484,43.71186105
127307,GO-20171931376,10/25/2017,10/16/2017,2017,October,25,298,Wednesday ,11,2017,October,16,289,Monday    ,12,D43,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,136,West Hill (136),136,West Hill (136),-79.18621381,43.7684036
204951,GO-20192103394,10/31/2019,11/29/2017,2019,October,31,304,Thursday  ,13,2017,November,29,333,Wednesday ,13,D23,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,Assault,2,Mount Olive-Silverstone-Jamestown (2),2,Mount Olive-Silverstone-Jamestown (2),-79.58636637,43.73250158
86890,GO-20161497418,8/24/2016,8/24/2016,2016,August,24,237,Wednesday ,7,2016,August,24,237,Wednesday ,7,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,172,Dovercourt Village (172),93,Dovercourt-Wallace Emerson-Junction (93),-79.43413892,43.66666392
374809,GO-2024104948,1/15/2024,1/15/2024,2024,January,15,15,Monday    ,1,2024,January,15,15,Monday    ,1,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,180,Robbery - Swarming,Robbery,168,Downtown Yonge East (168),75,Church-Yonge Corridor (75),-79.38091295,43.6563248
243996,GO-20202255087,11/29/2020,11/28/2020,2020,November,29,334,Sunday    ,0,2020,November,28,333,Saturday  ,22,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,220,Robbery - Other,Robbery,95,Annex (95),95,Annex (95),-79.39691515,43.67554392
412109,GO-20242342414,10/26/2024,10/26/2024,2024,October,26,300,Saturday  ,18,2024,October,26,300,Saturday  ,18,D32,Ttc Subway Station,Transit,1430,100,Assault,Assault,36,Newtonbrook West (36),36,Newtonbrook West (36),-79.41599034,43.781633
170569,GO-20182349238,12/23/2018,12/23/2018,2018,December,23,357,Sunday    ,16,2018,December,23,357,Sunday    ,16,D51,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,168,Downtown Yonge East (168),75,Church-Yonge Corridor (75),-79.37701795,43.6601891
191809,GO-20191292746,7/11/2019,7/11/2019,2019,July,11,192,Thursday  ,4,2019,July,11,192,Thursday  ,4,D51,Bar / Restaurant,Commercial,2120,200,B&E,Break and Enter,168,Downtown Yonge East (168),75,Church-Yonge Corridor (75),-79.37713405,43.6564956
4874,GO-20141628102,3/2/2014,3/1/2014,2014,March,2,61,Sunday    ,19,2014,March,1,60,Saturday  ,20,D43,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,135,Morningside (135),135,Morningside (135),-79.20586222,43.76458089
